hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
"Al Wathba, a Luxury Collection Desert Resort & Spa, Abu Dhabi",https://www.americanexpress.com/en-us/travel/discover/property/United-Arab-Emirates/Abu-Dhabi/Al-Wathba-a-Luxury-Collection-Desert-Resort--Spa-Abu-Dhabi?intlink=US-travel-discover-property-results-propertyCard-Al-Wathba-a-Luxury-Collection-Desert-Resort--Spa-Abu-Dhabi,"Abu Dhabi, United Arab Emirates",FINE HOTELS + RESORTS,,Program,24.1377896,54.742373,Al Wathba South 56620 - مشيرف - بالظبا - أبو ظبي - United Arab Emirates,google_places,PLACE_DETAILS,ChIJTyzMlEErXj4RTFL5tDkqyn0,establishment;lodging;point_of_interest,False,CACHED
Clayoquot Wilderness Lodge,https://www.americanexpress.com/en-us/travel/discover/property/British-Columbia-CA/Alberni-Clayoquot-C/Clayoquot-Wilderness-Lodge?intlink=US-travel-discover-property-results-propertyCard-Clayoquot-Wilderness-Lodge,"Alberni-Clayoquot C, British Columbia CA",FINE HOTELS + RESORTS,,Program,49.3663737,-125.7776638,"Bedwell River Valley, Alberni-Clayoquot C, BC V0R 2Z0, Canada",google_places,PLACE_DETAILS,ChIJy-YzMZrHiVQRzPDs4pvgFyk,establishment;lodging;point_of_interest,False,CACHED
Cameron House on Loch Lomond,https://www.americanexpress.com/en-us/travel/discover/property/Scotland/Alexandria/Cameron-House-On-Loch-Lomond?intlink=US-travel-discover-property-results-propertyCard-Cameron-House-On-Loch-Lomond,"Alexandria, Scotland",FINE HOTELS + RESORTS,,Program,56.0132151,-4.6077486,"Loch Lomond, A82, Alexandria G83 8QZ, UK",google_places,PLACE_DETAILS,ChIJ7RRv2rOsiUgRpWxpy3f3Lxs,establishment;lodging;point_of_interest;spa,False,CACHED
SHA Wellness Spain,https://www.americanexpress.com/en-us/travel/discover/property/Spain/Alicante/Sha-Wellness-Spain?intlink=US-travel-discover-property-results-propertyCard-Sha-Wellness-Spain,"Alicante, Spain",FINE HOTELS + RESORTS,,Program,38.5597759,-0.0744886,"Carrer del Verderol, 5, 03581 L'Albir, Alicante, Spain",google_places,PLACE_DETAILS,ChIJP9NeI6gGYg0RSE8mbFq08KY,establishment;health;lodging;point_of_interest;spa,False,CACHED
Pulitzer Amsterdam,https://www.americanexpress.com/en-us/travel/discover/property/Netherlands/Amsterdam/Pulitzer-Amsterdam?intlink=US-travel-discover-property-results-propertyCard-Pulitzer-Amsterdam,"Amsterdam, Netherlands",FINE HOTELS + RESORTS,,Program,52.3728783,4.883357,"Prinsengracht 323, 1016 GZ Amsterdam, Netherlands",google_places,PLACE_DETAILS,ChIJDY8OYsMJxkcRNqaKHHoTNFQ,establishment;lodging;point_of_interest,False,CACHED
Hotel Fasano Angra dos Reis,https://www.americanexpress.com/en-us/travel/discover/property/Brazil/Angra-dos-Reis/Hotel-Fasano-Angra-Dos-Reis?intlink=US-travel-discover-property-results-propertyCard-Hotel-Fasano-Angra-Dos-Reis,"Angra dos Reis, Brazil",FINE HOTELS + RESORTS,,Program,-22.9718836,-44.4389483,"Rod. Governador Mário Covas, Km 512 - Porto Frade, Angra dos Reis - RJ, 23946-017, Brazil",google_places,PLACE_DETAILS,ChIJvy2sgViynQARu4HqaxlTwoo,establishment;lodging;point_of_interest,False,CACHED
"The Brando, Tetiaroa Private Island",https://www.americanexpress.com/en-us/travel/discover/property/French-Polynesia/Arue/The-Brando-Tetiaroa-Private-Island?intlink=US-travel-discover-property-results-propertyCard-The-Brando-Tetiaroa-Private-Island,"Arue, French Polynesia",FINE HOTELS + RESORTS,,Program,-17.0227819,-149.5959077,"Arue 98702, French Polynesia",google_places,PLACE_DETAILS,ChIJUWiPJxOnkHYR5op_8Zwx0lI,establishment;lodging;point_of_interest,False,CACHED
91 Athens Riviera,https://www.americanexpress.com/en-us/travel/discover/property/Greece/Athens/91-Athens-Riviera?intlink=US-travel-discover-property-results-propertyCard-91-Athens-Riviera,"Athens, Greece",FINE HOTELS + RESORTS,,Program,37.8535593,23.7512451,"Α' Ακτή, Λεωφ. Αλκυονίδων 4, Βούλα 166 74, Greece",google_places,PLACE_DETAILS,ChIJZVOpVcO_oRQRsJ9vcNSSl6I,establishment;lodging;point_of_interest,False,CACHED
Grecotel The Dolli at Acropolis,https://www.americanexpress.com/en-us/travel/discover/property/Greece/Athens/Grecotel-The-Dolli-At-Acropolis?intlink=US-travel-discover-property-results-propertyCard-Grecotel-The-Dolli-At-Acropolis,"Athens, Greece",FINE HOTELS + RESORTS,,Program,37.9758119,23.7281266,"Mitropoleos 49, Athina 105 56, Greece",google_places,PLACE_DETAILS,ChIJ8UkelJ-9oRQR3C0IucbNFZI,establishment;lodging;point_of_interest,False,CACHED
Nobu Hotel Atlanta,https://www.americanexpress.com/en-us/travel/discover/property/Georgia-US/Atlanta/Nobu-Hotel-Atlanta?intlink=US-travel-discover-property-results-propertyCard-Nobu-Hotel-Atlanta,"Atlanta, Georgia US",FINE HOTELS + RESORTS,,Program,33.8540972,-84.36345999999999,"3520 Peachtree Rd NE, Atlanta, GA 30326, USA",google_places,PLACE_DETAILS,ChIJ3W5SZlEP9YgRbYjjmO_tZpo,establishment;lodging;point_of_interest,False,CACHED
