hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
Barnsley Resort,https://www.americanexpress.com/en-us/travel/discover/property/Georgia-US/Adairsville/Barnsley-Resort?intlink=US-travel-discover-property-results-propertyCard-Barnsley-Resort,"Adairsville, Georgia US",THE HOTEL COLLECTION,,Program,34.2994956,-84.9845809,"597 Barnsley Gardens Rd NW, Adairsville, GA 30103, USA",google_places,PLACE_DETAILS,ChIJNaYu22CsiogRQzFHT2dMRt8,establishment;lodging;point_of_interest,False,CACHED
"Hotel Heron Alexandria Old Town, Curio Collection by Hilton",https://www.americanexpress.com/en-us/travel/discover/property/Virginia-US/Alexandria/Hotel-Heron-Alexandria-Old-Town-Curio-Collection-By-Hilton?intlink=US-travel-discover-property-results-propertyCard-Hotel-Heron-Alexandria-Old-Town-Curio-Collection-By-Hilton,"Alexandria, Virginia US",THE HOTEL COLLECTION,,Program,38.8040318,-77.0467977,"699 Prince St, Alexandria, VA 22314, USA",google_places,PLACE_DETAILS,ChIJwVy_ghqxt4kRxGd9TehvcT0,establishment;lodging;point_of_interest,False,CACHED
Snowpine Lodge,https://www.americanexpress.com/en-us/travel/discover/property/Utah-US/Alta/Snowpine-Lodge?intlink=US-travel-discover-property-results-propertyCard-Snowpine-Lodge,"Alta, Utah US",THE HOTEL COLLECTION,,Program,40.5912562,-111.6323915,"10420 Little Cottonwood Rd Suite #1, Alta, UT 84092, USA",google_places,PLACE_DETAILS,ChIJiWuqGlhwUocRSAeLwDMsJsk,establishment;lodging;point_of_interest,False,CACHED
Troutbeck,https://www.americanexpress.com/en-us/travel/discover/property/New-York-US/Amenia/Troutbeck?intlink=US-travel-discover-property-results-propertyCard-Troutbeck,"Amenia, New York US",THE HOTEL COLLECTION,,Program,41.854537,-73.51648519999999,"515 Leedsville Rd, Amenia, NY 12501, USA",google_places,PLACE_DETAILS,ChIJh-gIjv183YkRqrSPG325fgI,establishment;food;lodging;point_of_interest;restaurant,False,CACHED
The Inn on Biltmore Estate,https://www.americanexpress.com/en-us/travel/discover/property/North-Carolina-US/Asheville/The-Inn-On-Biltmore-Estate?intlink=US-travel-discover-property-results-propertyCard-The-Inn-On-Biltmore-Estate,"Asheville, North Carolina US",THE HOTEL COLLECTION,,Program,35.5577866,-82.5805968,"1 Antler Hill Rd, Asheville, NC 28803, USA",google_places,PLACE_DETAILS,ChIJ2xdFCt-MWYgRJI2WpgFUK0Q,establishment;lodging;point_of_interest,False,CACHED
The Limelight Hotel Aspen,https://www.americanexpress.com/en-us/travel/discover/property/Colorado-US/Aspen/The-Limelight-Hotel-Aspen?intlink=US-travel-discover-property-results-propertyCard-The-Limelight-Hotel-Aspen,"Aspen, Colorado US",THE HOTEL COLLECTION,,Program,39.1889152,-106.8213958,"355 S Monarch St, Aspen, CO 81611, USA",google_places,PLACE_DETAILS,ChIJ3UiK0nw5QIcRDQLKrfHQ6Ps,establishment;lodging;point_of_interest,False,CACHED
ARRIVE Austin by Palisociety,https://www.americanexpress.com/en-us/travel/discover/property/Texas-US/Austin/Arrive-Austin-By-Palisociety?intlink=US-travel-discover-property-results-propertyCard-Arrive-Austin-By-Palisociety,"Austin, Texas US",THE HOTEL COLLECTION,,Program,30.261694,-97.72291469999999,"1813 E 6th St, Austin, TX 78702, USA",google_places,PLACE_DETAILS,ChIJEffd9ra1RIYRf_7VN-63NZk,establishment;lodging;point_of_interest,False,CACHED
LINE Austin,https://www.americanexpress.com/en-us/travel/discover/property/Texas-US/Austin/Line-Austin?intlink=US-travel-discover-property-results-propertyCard-Line-Austin,"Austin, Texas US",THE HOTEL COLLECTION,,Program,30.2631029,-97.7438972,"111 E Cesar Chavez St, Austin, TX 78701, USA",google_places,PLACE_DETAILS,ChIJA0Pwa_G1RIYRR1g97SPhn9k,establishment;lodging;point_of_interest,False,CACHED
Steigenberger Icon Europaischer Hof Baden-Baden,https://www.americanexpress.com/en-us/travel/discover/property/Germany/Baden-Baden/Steigenberger-Icon-Europaischer-Hof-Baden-baden?intlink=US-travel-discover-property-results-propertyCard-Steigenberger-Icon-Europaischer-Hof-Baden-baden,"Baden-Baden, Germany",THE HOTEL COLLECTION,,Program,48.76163,8.23804,"Kaiserallee 2, 76530 Baden-Baden, Germany",google_places,PLACE_DETAILS,ChIJfUZcJEIfl0cRSLeooq2lpag,establishment;lodging;point_of_interest,False,CACHED
Desa Potato Head Bali,https://www.americanexpress.com/en-us/travel/discover/property/Indonesia/Badung/Desa-Potato-Head-Bali?intlink=US-travel-discover-property-results-propertyCard-Desa-Potato-Head-Bali,"Badung, Indonesia",THE HOTEL COLLECTION,,Program,-8.6790217,115.1509365,"Jl. Petitenget No.51B, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",google_places,PLACE_DETAILS,ChIJ4f9QNY9H0i0REbMfgG5iI18,establishment;lodging;point_of_interest;spa,False,CACHED
